x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1,-1,-0.14,1,0,0,0,1,0,0,0,1
-1,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
-1,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
-1,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
-1,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
-1,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
-1,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
-1,0,-0.14,1,0,0,0,1,0,0,0,1
-1,0.142857,-0.14,1,0,0,0,1,0,0,0,1
-1,0.285714,-0.14,1,0,0,0,1,0,0,0,1
-1,0.428571,-0.14,1,0,0,0,1,0,0,0,1
-1,0.571429,-0.14,1,0,0,0,1,0,0,0,1
-1,0.714286,-0.14,1,0,0,0,1,0,0,0,1
-1,0.857143,-0.14,1,0,0,0,1,0,0,0,1
-1,1,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,-1,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,0,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.857143,1,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,-1,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,0,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.714286,1,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,-1,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,0,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.571429,1,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,-1,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,0,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.428571,1,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,-1,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,0,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.285714,1,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,-1,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,0,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,0.142857,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,0.285714,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,0.428571,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,0.571429,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,0.714286,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,0.857143,-0.14,1,0,0,0,1,0,0,0,1
-0.142857,1,-0.14,1,0,0,0,1,0,0,0,1
0,-1,-0.14,1,0,0,0,1,0,0,0,1
0,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
0,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
0,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
0,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
0,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
0,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
0,0,-0.14,1,0,0,0,1,0,0,0,1
0,0.142857,-0.14,1,0,0,0,1,0,0,0,1
0,0.285714,-0.14,1,0,0,0,1,0,0,0,1
0,0.428571,-0.14,1,0,0,0,1,0,0,0,1
0,0.571429,-0.14,1,0,0,0,1,0,0,0,1
0,0.714286,-0.14,1,0,0,0,1,0,0,0,1
0,0.857143,-0.14,1,0,0,0,1,0,0,0,1
0,1,-0.14,1,0,0,0,1,0,0,0,1
0.142857,-1,-0.14,1,0,0,0,1,0,0,0,1
0.142857,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.142857,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.142857,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.142857,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.142857,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.142857,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.142857,0,-0.14,1,0,0,0,1,0,0,0,1
0.142857,0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.142857,0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.142857,0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.142857,0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.142857,0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.142857,0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.142857,1,-0.14,1,0,0,0,1,0,0,0,1
0.285714,-1,-0.14,1,0,0,0,1,0,0,0,1
0.285714,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.285714,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.285714,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.285714,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.285714,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.285714,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.285714,0,-0.14,1,0,0,0,1,0,0,0,1
0.285714,0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.285714,0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.285714,0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.285714,0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.285714,0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.285714,0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.285714,1,-0.14,1,0,0,0,1,0,0,0,1
0.428571,-1,-0.14,1,0,0,0,1,0,0,0,1
0.428571,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.428571,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.428571,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.428571,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.428571,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.428571,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.428571,0,-0.14,1,0,0,0,1,0,0,0,1
0.428571,0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.428571,0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.428571,0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.428571,0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.428571,0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.428571,0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.428571,1,-0.14,1,0,0,0,1,0,0,0,1
0.571429,-1,-0.14,1,0,0,0,1,0,0,0,1
0.571429,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.571429,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.571429,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.571429,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.571429,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.571429,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.571429,0,-0.14,1,0,0,0,1,0,0,0,1
0.571429,0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.571429,0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.571429,0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.571429,0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.571429,0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.571429,0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.571429,1,-0.14,1,0,0,0,1,0,0,0,1
0.714286,-1,-0.14,1,0,0,0,1,0,0,0,1
0.714286,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.714286,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.714286,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.714286,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.714286,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.714286,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.714286,0,-0.14,1,0,0,0,1,0,0,0,1
0.714286,0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.714286,0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.714286,0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.714286,0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.714286,0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.714286,0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.714286,1,-0.14,1,0,0,0,1,0,0,0,1
0.857143,-1,-0.14,1,0,0,0,1,0,0,0,1
0.857143,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.857143,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.857143,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.857143,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.857143,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.857143,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.857143,0,-0.14,1,0,0,0,1,0,0,0,1
0.857143,0.142857,-0.14,1,0,0,0,1,0,0,0,1
0.857143,0.285714,-0.14,1,0,0,0,1,0,0,0,1
0.857143,0.428571,-0.14,1,0,0,0,1,0,0,0,1
0.857143,0.571429,-0.14,1,0,0,0,1,0,0,0,1
0.857143,0.714286,-0.14,1,0,0,0,1,0,0,0,1
0.857143,0.857143,-0.14,1,0,0,0,1,0,0,0,1
0.857143,1,-0.14,1,0,0,0,1,0,0,0,1
1,-1,-0.14,1,0,0,0,1,0,0,0,1
1,-0.857143,-0.14,1,0,0,0,1,0,0,0,1
1,-0.714286,-0.14,1,0,0,0,1,0,0,0,1
1,-0.571429,-0.14,1,0,0,0,1,0,0,0,1
1,-0.428571,-0.14,1,0,0,0,1,0,0,0,1
1,-0.285714,-0.14,1,0,0,0,1,0,0,0,1
1,-0.142857,-0.14,1,0,0,0,1,0,0,0,1
1,0,-0.14,1,0,0,0,1,0,0,0,1
1,0.142857,-0.14,1,0,0,0,1,0,0,0,1
1,0.285714,-0.14,1,0,0,0,1,0,0,0,1
1,0.428571,-0.14,1,0,0,0,1,0,0,0,1
1,0.571429,-0.14,1,0,0,0,1,0,0,0,1
1,0.714286,-0.14,1,0,0,0,1,0,0,0,1
1,0.857143,-0.14,1,0,0,0,1,0,0,0,1
1,1,-0.14,1,0,0,0,1,0,0,0,1
